Jahr,Bundesland,Kennzahl,Wert_EUR
2020-01-01T00:00:00.000Z,Schleswig-Holstein,Einnahmen der Hochschulen (ohne Trägermittel),1.36867E9
2022-01-01T00:00:00.000Z,Schleswig-Holstein,Ausgaben der Hochschulen,2.383416E9
2022-01-01T00:00:00.000Z,Schleswig-Holstein,Trägermittel der Hochschulen,7.21196E8
2022-01-01T00:00:00.000Z,Schleswig-Holstein,Drittmitteleinnahmen der Hochschulen,2.46325E8
2022-01-01T00:00:00.000Z,Schleswig-Holstein,Einnahmen der Hochschulen (ohne Trägermittel),1.520689E9
2020-01-01T00:00:00.000Z,Sachsen-Anhalt,Ausgaben der Hochschulen,1.718403E9
2020-01-01T00:00:00.000Z,Sachsen-Anhalt,Trägermittel der Hochschulen,7.06277E8
2020-01-01T00:00:00.000Z,Sachsen-Anhalt,Drittmitteleinnahmen der Hochschulen,1.51323E8
2020-01-01T00:00:00.000Z,Sachsen-Anhalt,Einnahmen der Hochschulen (ohne Trägermittel),9.73463E8
2020-01-01T00:00:00.000Z,Niedersachsen,Ausgaben der Hochschulen,4.776931E9
2020-01-01T00:00:00.000Z,Niedersachsen,Trägermittel der Hochschulen,2.643572E9
2020-01-01T00:00:00.000Z,Niedersachsen,Drittmitteleinnahmen der Hochschulen,7.60645E8
2020-01-01T00:00:00.000Z,Niedersachsen,Einnahmen der Hochschulen (ohne Trägermittel),2.288573E9
2022-01-01T00:00:00.000Z,Niedersachsen,Ausgaben der Hochschulen,5.075837E9
2022-01-01T00:00:00.000Z,Niedersachsen,Trägermittel der Hochschulen,2.733171E9
2022-01-01T00:00:00.000Z,Niedersachsen,Drittmitteleinnahmen der Hochschulen,8.52309E8
2022-01-01T00:00:00.000Z,Niedersachsen,Einnahmen der Hochschulen (ohne Trägermittel),2.505865E9
2020-01-01T00:00:00.000Z,Brandenburg,Ausgaben der Hochschulen,6.90723E8
2020-01-01T00:00:00.000Z,Brandenburg,Trägermittel der Hochschulen,5.37879E8
2020-01-01T00:00:00.000Z,Brandenburg,Drittmitteleinnahmen der Hochschulen,1.53792E8
2020-01-01T00:00:00.000Z,Brandenburg,Einnahmen der Hochschulen (ohne Trägermittel),1.8548E8
2022-01-01T00:00:00.000Z,Sachsen-Anhalt,Ausgaben der Hochschulen,1.937493E9
2022-01-01T00:00:00.000Z,Sachsen-Anhalt,Trägermittel der Hochschulen,7.68225E8
2022-01-01T00:00:00.000Z,Sachsen-Anhalt,Drittmitteleinnahmen der Hochschulen,2.17233E8
2022-01-01T00:00:00.000Z,Sachsen-Anhalt,Einnahmen der Hochschulen (ohne Trägermittel),1.15719E9
2019-01-01T00:00:00.000Z,Bayern,Ausgaben der Hochschulen,9.607546E9
2019-01-01T00:00:00.000Z,Bayern,Trägermittel der Hochschulen,4.147276E9
2019-01-01T00:00:00.000Z,Bayern,Drittmitteleinnahmen der Hochschulen,1.360828E9
2019-01-01T00:00:00.000Z,Bayern,Einnahmen der Hochschulen (ohne Trägermittel),5.246307E9
2022-01-01T00:00:00.000Z,Brandenburg,Ausgaben der Hochschulen,8.19846E8
2022-01-01T00:00:00.000Z,Brandenburg,Trägermittel der Hochschulen,5.71009E8
2022-01-01T00:00:00.000Z,Brandenburg,Drittmitteleinnahmen der Hochschulen,1.74095E8
2022-01-01T00:00:00.000Z,Brandenburg,Einnahmen der Hochschulen (ohne Trägermittel),2.53921E8
2019-01-01T00:00:00.000Z,Hessen,Ausgaben der Hochschulen,4.5022E9
2019-01-01T00:00:00.000Z,Hessen,Trägermittel der Hochschulen,2.243326E9
2019-01-01T00:00:00.000Z,Hessen,Drittmitteleinnahmen der Hochschulen,5.65161E8
2019-01-01T00:00:00.000Z,Hessen,Einnahmen der Hochschulen (ohne Trägermittel),2.358699E9
2019-01-01T00:00:00.000Z,Sachsen,Ausgaben der Hochschulen,3.191007E9
2019-01-01T00:00:00.000Z,Sachsen,Trägermittel der Hochschulen,1.191449E9
2019-01-01T00:00:00.000Z,Sachsen,Drittmitteleinnahmen der Hochschulen,6.1512E8
2019-01-01T00:00:00.000Z,Sachsen,Einnahmen der Hochschulen (ohne Trägermittel),1.788495E9
2022-01-01T00:00:00.000Z,Rheinland-Pfalz,Ausgaben der Hochschulen,2.347026E9
2022-01-01T00:00:00.000Z,Rheinland-Pfalz,Trägermittel der Hochschulen,8.00089E8
2022-01-01T00:00:00.000Z,Rheinland-Pfalz,Drittmitteleinnahmen der Hochschulen,3.32835E8
2022-01-01T00:00:00.000Z,Rheinland-Pfalz,Einnahmen der Hochschulen (ohne Trägermittel),1.178801E9
2020-01-01T00:00:00.000Z,Bremen,Ausgaben der Hochschulen,5.16675E8
2020-01-01T00:00:00.000Z,Bremen,Trägermittel der Hochschulen,2.79218E8
2020-01-01T00:00:00.000Z,Bremen,Drittmitteleinnahmen der Hochschulen,1.36611E8
2020-01-01T00:00:00.000Z,Bremen,Einnahmen der Hochschulen (ohne Trägermittel),2.81994E8
2020-01-01T00:00:00.000Z,Rheinland-Pfalz,Ausgaben der Hochschulen,2.097752E9
2020-01-01T00:00:00.000Z,Rheinland-Pfalz,Trägermittel der Hochschulen,7.40046E8
2020-01-01T00:00:00.000Z,Rheinland-Pfalz,Drittmitteleinnahmen der Hochschulen,2.87162E8
2020-01-01T00:00:00.000Z,Rheinland-Pfalz,Einnahmen der Hochschulen (ohne Trägermittel),1.030222E9
2021-01-01T00:00:00.000Z,Hamburg,Ausgaben der Hochschulen,2.531905E9
2021-01-01T00:00:00.000Z,Hamburg,Trägermittel der Hochschulen,1.246945E9
2021-01-01T00:00:00.000Z,Hamburg,Drittmitteleinnahmen der Hochschulen,3.43409E8
2021-01-01T00:00:00.000Z,Hamburg,Einnahmen der Hochschulen (ohne Trägermittel),1.458092E9
2019-01-01T00:00:00.000Z,Rheinland-Pfalz,Ausgaben der Hochschulen,2.038189E9
2019-01-01T00:00:00.000Z,Rheinland-Pfalz,Trägermittel der Hochschulen,7.43988E8
2019-01-01T00:00:00.000Z,Rheinland-Pfalz,Drittmitteleinnahmen der Hochschulen,2.83165E8
2019-01-01T00:00:00.000Z,Rheinland-Pfalz,Einnahmen der Hochschulen (ohne Trägermittel),1.005993E9
2022-01-01T00:00:00.000Z,Sachsen,Ausgaben der Hochschulen,3.638259E9
2022-01-01T00:00:00.000Z,Sachsen,Trägermittel der Hochschulen,1.220993E9
2022-01-01T00:00:00.000Z,Sachsen,Drittmitteleinnahmen der Hochschulen,7.36849E8
2022-01-01T00:00:00.000Z,Sachsen,Einnahmen der Hochschulen (ohne Trägermittel),2.089251E9
2019-01-01T00:00:00.000Z,Saarland,Ausgaben der Hochschulen,9.3504E8
2019-01-01T00:00:00.000Z,Saarland,Trägermittel der Hochschulen,2.96426E8
2019-01-01T00:00:00.000Z,Saarland,Drittmitteleinnahmen der Hochschulen,7.8756E7
2019-01-01T00:00:00.000Z,Saarland,Einnahmen der Hochschulen (ohne Trägermittel),6.18659E8
