Jahr,LehrForschungsbereich,Geschlecht,Wert
2020-01-01T00:00:00.000Z,"Kliniken insgesamt, Zentrale Dienste",weiblich,949.0
2020-01-01T00:00:00.000Z,Mathematik,weiblich,1561.0
2021-01-01T00:00:00.000Z,Altphilologie (klassische Philologie),weiblich,178.0
2023-01-01T00:00:00.000Z,"Landespflege, Umweltgestaltung",weiblich,233.0
2022-01-01T00:00:00.000Z,Politikwissenschaft,weiblich,967.0
2019-01-01T00:00:00.000Z,Mit der Klinik verbundene u.klinikfremde Einricht.,männlich,15.0
2020-01-01T00:00:00.000Z,Zahnmedizin (klinisch-praktisch),weiblich,995.0
2022-01-01T00:00:00.000Z,"Darstellende Kunst, Film u.Fernsehen, Theaterwiss.",männlich,370.0
2021-01-01T00:00:00.000Z,"Agrarwissensch., Lebensmittel- u. Getränketechnik",männlich,1556.0
2021-01-01T00:00:00.000Z,Biologie,weiblich,4685.0
2021-01-01T00:00:00.000Z,"Musik, Musikwissenschaft",weiblich,1116.0
2020-01-01T00:00:00.000Z,Islamische Studien/Islamische Theologie,männlich,105.0
2022-01-01T00:00:00.000Z,Bauingenieurwesen,weiblich,1326.0
2019-01-01T00:00:00.000Z,Sonstige Sprach- und Kulturwissenschaften,männlich,726.0
2019-01-01T00:00:00.000Z,"Physik, Astronomie",weiblich,2035.0
2022-01-01T00:00:00.000Z,Altphilologie (klassische Philologie),männlich,277.0
2020-01-01T00:00:00.000Z,Vermessungswesen,männlich,442.0
2021-01-01T00:00:00.000Z,"Verkehrstechnik, Nautik",weiblich,275.0
2022-01-01T00:00:00.000Z,Hochschulrechenzentrum,männlich,854.0
2019-01-01T00:00:00.000Z,Hochschulrechenzentrum,männlich,856.0
2022-01-01T00:00:00.000Z,Islamische Studien/Islamische Theologie,männlich,87.0
2023-01-01T00:00:00.000Z,Humanmedizin allgemein,weiblich,624.0
2019-01-01T00:00:00.000Z,Gestaltung,weiblich,641.0
2020-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen,weiblich,322.0
2022-01-01T00:00:00.000Z,Architektur,weiblich,1109.0
2019-01-01T00:00:00.000Z,Bauingenieurwesen,weiblich,1247.0
2021-01-01T00:00:00.000Z,Klinisch-theoretische Veterinärmedizin,männlich,245.0
2020-01-01T00:00:00.000Z,Gestaltung,männlich,944.0
2023-01-01T00:00:00.000Z,Klinisch-theoretische Veterinärmedizin,weiblich,368.0
2021-01-01T00:00:00.000Z,Veterinärmedizin allgemein,männlich,
2019-01-01T00:00:00.000Z,Geographie,männlich,1100.0
2020-01-01T00:00:00.000Z,Sport,weiblich,925.0
2022-01-01T00:00:00.000Z,"Bergbau, Hüttenwesen",männlich,400.0
2022-01-01T00:00:00.000Z,Zentrale Hochschulverwaltung,weiblich,2203.0
2021-01-01T00:00:00.000Z,Wirtschaftsingenieurw. mit ingenieurw. Schwerpunkt,weiblich,173.0
2022-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",männlich,421.0
2019-01-01T00:00:00.000Z,"Germanistik (Deutsch, germ. Sprachen o. Anglistik)",weiblich,2188.0
2023-01-01T00:00:00.000Z,Geographie,weiblich,839.0
2019-01-01T00:00:00.000Z,Vermessungswesen,männlich,451.0
2021-01-01T00:00:00.000Z,Kommunikationswissenschaft/Publizistik,männlich,350.0
2019-01-01T00:00:00.000Z,Kulturwissenschaften i.e.S.,weiblich,320.0
2019-01-01T00:00:00.000Z,Sozialwissenschaften/Soziologie,männlich,1566.0
2020-01-01T00:00:00.000Z,Zentrale wissenschaftliche Einrichtungen,weiblich,3989.0
2023-01-01T00:00:00.000Z,Sozialwissenschaften/Soziologie,weiblich,1711.0
2022-01-01T00:00:00.000Z,Sonderpädagogik,weiblich,
2020-01-01T00:00:00.000Z,Zentral verwaltete Hörsäle und Lehrräume,männlich,
2023-01-01T00:00:00.000Z,Zentrale wissenschaftliche Einrichtungen,männlich,4119.0
2023-01-01T00:00:00.000Z,Vermessungswesen,weiblich,208.0
2020-01-01T00:00:00.000Z,Pharmazie,weiblich,735.0
2022-01-01T00:00:00.000Z,Katholische Theologie,männlich,573.0
2019-01-01T00:00:00.000Z,Erziehungswissenschaften,männlich,2095.0
2021-01-01T00:00:00.000Z,Sozialwesen,männlich,1045.0
2022-01-01T00:00:00.000Z,Zentral verwaltete Hörsäle und Lehrräume,männlich,
2023-01-01T00:00:00.000Z,Wirtschaftsingenieurw. mit ingenieurw. Schwerpunkt,männlich,479.0
2019-01-01T00:00:00.000Z,Elektro- und Informationstechnik,weiblich,1232.0
2022-01-01T00:00:00.000Z,"Forstwissenschaft, Holzwirtschaft",männlich,408.0
2019-01-01T00:00:00.000Z,Ingenieurwissenschaften allgemein,männlich,1665.0
2020-01-01T00:00:00.000Z,Biologie,männlich,5063.0
2020-01-01T00:00:00.000Z,Evangelische Theologie,weiblich,478.0
